HR,Name,DM,HD,SAO,FK5,IRFlag,r_IRFloag,Multiple,ADS,ADScomp,VarID,RAh1900,RAm1900,RAs1900,DE-1900,DEd1900,DEm1900,DEs1900,RAh,RAm,RAs,DE-,DEd,DEm,DEs,GLON,GLAT,Vmag,n_Vmag,u_Vmag,B-V,u_B-V,U-B,u_U-B ,R-I,n_R-I,SpType,n_SpType,pmRA,pmDE,n_Parallax,Parallax,RadVel,n_RadVel,l_RotVel,RotVel,u_RotVel,Dmag,Sep,MultID,MultCnt,NoteFlag
1157,,CD-41 111,23508,216459,,,,W,,,,3,40,34.0,-,40,58,22,3,44,6.2,-,40,39,37,245.19,-52.14,6.45,,,1.06,,1.01,,0.38,E,K1III,,0.008,-0.086,,,19,,,,,3.0,5.1,,,*
1301,,BD+37  89,26605,57081,,,,,,,,4,7,20.5,+,37,42,41,4,13,59.6,+,37,58,1,161.10,-9.47,6.45,R,,,,,,,,G9III,,-0.058,0.000,,,29,,,,,,,,,
1501,,BD+32  82,29867,57393,,,,,,,,4,37,20.3,+,32,40,39,4,43,48.3,+,32,51,55,169.06,-8.49,6.45,R,,,,,,,,A8V,,-0.035,-0.042,,,0,,,73,,,,,,
2025,,BD+39 143,39182,58524,,,,,,,,5,45,42.0,+,39,32,55,5,52,39.5,+,39,34,28,171.58,6.69,6.45,R,,0.09,,0.17,,,,A2V,,-0.026,-0.016,,,-19,,,,,,,,,
2043,,CD-29 255,39543,170945,,,,,,,,5,48,7.6,-,29,28,24,5,51,59.5,-,29,26,55,234.68,-25.02,6.45,,,1.48,,1.72,,,,K3III,,-0.004,0.020,,,2,,,,,,,,,
2114,,CP-53  97,40665,234224,,,,W,,,2753,5,55,7.0,-,53,26,6,5,57,14.4,-,53,25,34,261.27,-29.37,6.45,,,1.48,,,,,,K5-M0III,,0.016,-0.014,,,73,,,,,1.0,55.9,AB,3,*
2123,,BD+51 114,40873,25548,2463,,,,4633,,2804,5,56,33.3,+,51,34,33,6,4,29.1,+,51,34,24,161.80,14.17,6.45,,,0.18,,0.16,,,,A7III,,0.005,-0.042,,,20,V,,99,,2.8,39.0,AB,3,*
2151,,CP-60  53,41586,249424,,,,,,,SW Pic,6,0,54.1,-,60,5,36,6,2,9.2,-,60,5,49,268.97,-29.34,6.45,,,1.58,,1.81,,,,M4III,,0.010,0.004,,,-51,V?,,,,,,,,*
2208,,BD+10 105,42807,95394,,,,,,,,6,7,39.5,+,10,39,38,6,13,12.6,+,10,37,39,199.10,-3.50,6.45,,,0.67,,0.15,,,,G2V,,0.092,-0.285,,0.055,3,,,,,,,,,
2376,7    Lyn,BD+55 109,46101,25814,,I,,,,,,6,26,13.5,+,55,25,35,6,34,32.8,+,55,21,11,159.97,19.75,6.45,R,,,,,,,,K0III:,,0.002,0.004,,,-20,,,,,,,,,
2404,14    Mon,BD+07 135,46642,114085,,,,,5211,,3031,6,29,21.4,+,7,39,1,6,34,46.4,+,7,34,21,204.30,-0.23,6.45,,,-0.02,,-0.03,,,,A0V s,,-0.010,-0.004,,,38,,,56,,4.0,10.5,,,*
